Bill_ID,Introduction_Date,Title,Status
H.R. 1630,"Mar 20, 2017",To authorize the Secretary of the Interior to assess sanitation and safety conditions at Bureau of Indian Affairs facilities that were constructed to provide affected Columbia River Treaty tribes access to traditional fishing grounds and expen,Referred to Committee
H.R. 1624,"Mar 20, 2017","To require the appropriate Federal banking agencies to treat certain municipal obligations as level 2A liquid assets, and for other purposes.",Referred to Committee
H.R. 1625,"Mar 20, 2017","To amend the State Department Basic Authorities Act of 1956 to include severe forms of trafficking in persons within the definition of transnational organized crime for purposes of the rewards program of the Department of State, and for other",Referred to Committee
H.R. 1631,"Mar 20, 2017","To amend title II of the Social Security Act and the Internal Revenue Code of 1986 to modify the portion of wages and self-employment income subject to payroll taxes, and for other purposes.",Referred to Committee
H.R. 1634,"Mar 20, 2017",To require the Secretary of Health and Human Services to issue to Federal agencies guidelines for developing procedures and requirements relating to certain primary care Federal health professionals completing continuing medical education on n,Referred to Committee
H.R. 1632,"Mar 20, 2017","To prohibit the use of Federal money for print, radio, television or any other media advertisement, campaign, or form of publicity against the use of a food or beverage that is lawfully marketed under the Federal Food, Drug, and Cosmetic Act.",Referred to Committee
H.R. 1638,"Mar 20, 2017","To require the Secretary of the Treasury to submit a report to the appropriate congressional committees on the estimated total assets under direct or indirect control by certain senior Iranian leaders and other figures, and for other purposes.",Referred to Committee
H.R. 1639,"Mar 20, 2017","To amend the Public Health Service Act to provide for the participation of physical therapists in the National Health Service Corps Loan Repayment Program, and for other purposes.",Referred to Committee
H.R. 1626,"Mar 20, 2017","To amend the Internal Revenue Code of 1986 to exclude from gross income certain amounts realized on the disposition of property raised or produced by a student farmer, and for other purposes.",Referred to Committee
H.R. 1636,"Mar 20, 2017",To reauthorize the matching grant program for school security in the Omnibus Crime Control and Safe Streets Act of 1968.,Referred to Committee
H.R. 1637,"Mar 20, 2017","To amend the Consumer Financial Protection Act of 2010 to authorize private parties to compel the Bureau to seek sanctions by filing civil actions, and for other purposes.",Referred to Committee
H.R. 1627,"Mar 20, 2017","To amend the Immigration and Nationality Act to reinstate the returning worker exemption for H-2B visas, and for other purposes.",Referred to Committee
H.R. 1629,"Mar 20, 2017",To restrict the use of steel-jaw leghold traps and Conibear traps on animals in the United States.,Referred to Committee
H.R. 1633,"Mar 20, 2017",To amend the Immigration and Nationality Act to extend the period of time for which a conditional permit to land temporarily may be granted to an alien crewman.,Referred to Committee
H.R. 1643,"Mar 20, 2017","To amend title 5, United States Code, to provide agency heads with additional authority to discipline Federal employees, and for other purposes.",Referred to Committee
H.Res. 212,"Mar 20, 2017",Expressing the sense of the House of Representatives that any legislation to repeal the Patient Protection and Affordable Care Act should include a replacement for such Act that includes certain health care consumer protections.,Referred to Committee
H.R. 1641,"Mar 20, 2017","To amend the Small Business Act to clarify the responsibilities of Business Opportunity Specialists, and for other purposes.",Referred to Committee
H.R. 1635,"Mar 20, 2017","To amend the loan counseling requirements under the Higher Education Act of 1965, and for other purposes.",Referred to Committee
H.R. 1642,"Mar 20, 2017","To responsibly pay our Nations bills on time by temporarily extending the public debt limit, and for other purposes.",Referred to Committee
H.R. 1640,"Mar 20, 2017","To amend the Small Business Act to ensure uniformity in procurement terminology, and for other purposes.",Referred to Committee
H.Res. 211,"Mar 20, 2017",Recognizing the cultural and historical significance of Nowruz.,Referred to Committee
H.Con.Res. 36,"Mar 20, 2017",Authorizing the use of the Capitol Grounds for the Greater Washington Soap Box Derby.,Referred to Committee
H.Con.Res. 35,"Mar 20, 2017",Authorizing the use of the Capitol Grounds for the National Peace Officers Memorial Service and the National Honor Guard and Pipe Band Exhibition.,Referred to Committee
H.R. 1594,"Mar 17, 2017","To ensure that the percentage increase in rates of basic pay for prevailing wage employees shall be equal to the percentage increase received by other Federal employees in the same pay locality, and for other purposes.",Referred to Committee
H.R. 1596,"Mar 17, 2017","To establish the Commission to study the potential creation of a National Museum of Irish American History, and for other purposes.",Referred to Committee
H.R. 1595,"Mar 17, 2017",To amend the Federal Deposit Insurance Act to allow mutual capital certificates to satisfy capital requirements for mutual depositories.,Referred to Committee
H.R. 1598,"Mar 17, 2017","To amend title 28, United States Code, to divide the ninth judicial circuit of the United States into 2 circuits, and for other purposes.",Referred to Committee
H.R. 1599,"Mar 17, 2017",To prohibit the provision of performance awards to employees of the Internal Revenue Service who owe back taxes.,Referred to Committee
H.R. 1593,"Mar 17, 2017",To repeal the corporate average fuel economy standards.,Referred to Committee
H.R. 1604,"Mar 17, 2017","To amend title XIX of the Social Security Act to extend to physician assistants eligibility for Medicaid incentive payments for the adoption and use of certified electronic health records, whether or not such physician assistants practice at a",Referred to Committee
H.R. 1606,"Mar 17, 2017","To amend title XXVII of the Public Health Service Act to improve health care coverage under vision and dental plans, and for other purposes.",Referred to Committee
H.R. 1600,"Mar 17, 2017",To amend the Internal Revenue Code of 1986 to make permanent the work opportunity tax credit for veterans and to allow an exemption from an employers employment taxes in an amount equivalent to the value of such credit in the case of veterans,Referred to Committee
H.R. 1601,"Mar 17, 2017",To amend the Elementary and Secondary Education Act of 1965 to clarify when certain academic assessments shall be administered.,Referred to Committee
H.R. 1615,"Mar 17, 2017","To amend the Federal Election Campaign Act of 1971 to apply the ban on contributions and expenditures by foreign nationals under such Act to foreign-controlled, foreign-influenced, and foreign-owned domestic corporations, and for other purpose",Referred to Committee
H.R. 1611,"Mar 17, 2017","To require the Securities and Exchange Commission to establish a Gender Diversity Advisory Group to study and make recommendations on strategies to increase gender diversity among the members of the board of directors of issuers, to amend the",Referred to Committee
H.R. 1619,"Mar 17, 2017","To authorize assistance and training to increase maritime security and domain awareness of foreign countries bordering the Persian Gulf, the Arabian Sea, or the Mediterranean Sea in order to deter and counter illicit smuggling and related mari",Referred to Committee
H.R. 1620,"Mar 17, 2017","To amend the Family and Medical Leave Act of 1993 and title 5, United States Code, to permit leave to care for an adult child, grandchild, or grandparent who has a serious health condition, and for other purposes.",Referred to Committee
H.R. 1622,"Mar 17, 2017","To provide for a lifetime National Recreational Pass for any veteran with a service-connected disability, and for other purposes.",Referred to Committee
H.R. 1618,"Mar 17, 2017","To amend title 38, United States Code, to clarify that caregivers for veterans with serious illnesses are eligible for assistance and support services provided by the Secretary of Veterans Affairs, and for other purposes.",Referred to Committee
H.R. 1621,"Mar 17, 2017","To amend title XVIII of the Social Security Act to distribute additional information to Medicare beneficiaries to prevent health care fraud, and for other purposes.",Referred to Committee
H.Con.Res. 34,"Mar 17, 2017",Recognizing the 100th anniversary of the charitable contribution deduction.,Referred to Committee
H.R. 1609,"Mar 17, 2017","To amend title 10, United States Code, to support meeting the increasing needs of the United States for a cybersecurity and information assurance workforce by reinvigorating and modifying the Information Assurance Scholarship Program of the De",Referred to Committee
H.R. 1610,"Mar 17, 2017","To amend title XXVII of the Public Health Service Act, and title XVIII of the Social Security Act, to direct the Secretary of Health and Human Services to conduct audits of medical loss ratio reports submitted by health insurance issuers, and",Referred to Committee
H.R. 1617,"Mar 17, 2017",To amend title XVIII of the Social Security Act to permit nurse practitioners and physician assistants to satisfy the documentation requirement under the Medicare program for coverage of certain shoes for individuals with diabetes.,Referred to Committee
H.R. 1612,"Mar 17, 2017",To require criminal background checks on all firearms transactions occurring at gun shows.,Referred to Committee
H.R. 1613,"Mar 17, 2017","To amend the Surface Mining Control and Reclamation Act of 1977 to transfer certain funds to the Multiemployer Health Benefit Plan, and for other purposes.",Referred to Committee
H.R. 1616,"Mar 17, 2017","To amend the Homeland Security Act of 2002 to authorize the National Computer Forensics Institute, and for other purposes.",Referred to Committee
H.R. 1602,"Mar 17, 2017",To amend the Internal Revenue Code of 1986 to provide an exclusion from gross income for AmeriCorps educational awards.,Referred to Committee
H.R. 1605,"Mar 17, 2017","To amend the Public Health Service Act to provide loan repayment incentives for physician assistants, and for other purposes.",Referred to Committee
H.R. 1603,"Mar 17, 2017","To amend the Higher Education Act of 1965 to improve education opportunities for physician assistants, and for other purposes.",Referred to Committee
H.R. 1607,"Mar 17, 2017",To establish the National Criminal Justice Commission.,Referred to Committee
H.Res. 207,"Mar 17, 2017",Expressing the continued support of the House of Representatives for the Good Friday Agreement (the Belfast Agreement).,Referred to Committee
H.Res. 208,"Mar 17, 2017","Supporting the goals and ideals of National Latino AIDS Awareness Day on October 15, 2017, and for other purposes.",Referred to Committee
H.R. 1608,"Mar 17, 2017","To require agents and officers of U.S. Immigration and Customs Enforcement and U.S. Customs and Border Protection to wear body cameras, and for other purposes.",Referred to Committee
H.R. 1614,"Mar 17, 2017",To authorize borrowers of loans under the William D. Ford Federal Direct Loan Program to modify the interest rate of such loans to be equal to the interest rate for such loans at the time of modification.,Referred to Committee
H.R. 1623,"Mar 17, 2017",To repeal the Advanced Technology Vehicles Manufacturing Incentive Program.,Referred to Committee
H.R. 1597,"Mar 17, 2017","To amend the Small Business Act to clarify the responsibilities of commercial market representatives, and for other purposes.",Referred to Committee
H.Res. 206,"Mar 17, 2017",Recognizing Girl Scouts of the United States of America on its 105th birthday and on the 100th anniversary of the Girl Scout Cookie Program.,Referred to Committee
H.R. 1562,"Mar 16, 2017","To amend the Help America Vote Act of 2002 to improve the security of the information technology used to administer voter registration procedures and elections for Federal office, to promote the accuracy and integrity of the results of such el",Referred to Committee
H.R. 1563,"Mar 16, 2017","To amend the Public Health Service Act to provide for the establishment of a mesothelioma patient registry, and for other purposes.",Referred to Committee
H.R. 1572,"Mar 16, 2017","To amend the Public Utility Regulatory Policies Act of 1978 to provide for the consideration by State regulatory authorities and nonregulated electric utilities of whether subsidies should be provided for the deployment, construction, maintena",Referred to Committee
H.R. 1575,"Mar 16, 2017","To amend the Internal Revenue Code of 1986 to expand the family members with respect to whom treatment for alcohol and drug addiction is treated as a qualified medical expense for purposes of health reimbursement arrangements, health flexible",Referred to Committee
H.R. 1571,"Mar 16, 2017","To provide first responders with planning, training, and equipment capabilities for crude oil-by-rail and ethanol-by-rail derailment and incident response, and for other purposes.",Referred to Committee
H.R. 1570,"Mar 16, 2017","To provide for the establishment of a global affairs strategy and assistance for people of African descent, and for other purposes.",Referred to Committee
H.R. 1574,"Mar 16, 2017","To amend the Communications Act of 1934 to clarify that the Federal Communications Commission may not take action against a broadcast licensee or any other person on the basis of viewpoint, to clarify that the President may not direct an agenc",Referred to Committee
H.R. 1573,"Mar 16, 2017","To oppose International Monetary Fund participation in foreign-led agreements, reduce moral hazard, and for other purposes.",Referred to Committee
H.R. 1564,"Mar 16, 2017",To amend section 504 of the Veterans Benefits Improvements Act of 1996 to specify the funding source for travel related to examinations by physicians not employed by the Department of Veterans Affairs regarding medical disabilities of applica,Referred to Committee
H.R. 1565,"Mar 16, 2017",To provide for the creation of a safe harbor for defendants in medical malpractice actions who demonstrate adherence to clinical practice guidelines.,Referred to Committee
H.R. 1557,"Mar 16, 2017","To withdraw certain lands in Los Angeles County, California, from entry, appropriation, or disposal under the public land laws, and for other purposes.",Referred to Committee
H.R. 1559,"Mar 16, 2017","To amend the State Department Basic Authorities Act of 1956 to establish a United States Ambassador at Large for Arctic Affairs, and for other purposes.",Referred to Committee
H.R. 1560,"Mar 16, 2017",To amend the Family and Medical Leave Act of 1993 to provide leave because of the death of a son or daughter.,Referred to Committee
H.R. 1558,"Mar 16, 2017","To amend the National Flood Insurance Act of 1968 to ensure community accountability for areas repetitively damaged by floods, and for other purposes.",Referred to Committee
H.R. 1568,"Mar 16, 2017","To enhance interstate commerce by creating a national hiring standard for motor carriers, and for other purposes.",Referred to Committee
H.R. 1569,"Mar 16, 2017",To prioritize funding for an expanded and sustained national investment in basic science research.,Referred to Committee
H.R. 1567,"Mar 16, 2017",To promote economic partnership and cooperation between the United States and Mexico.,Referred to Committee
H.R. 1578,"Mar 16, 2017","To amend title XVIII of the Social Security Act to provide coverage under the Medicare program for FDA-approved qualifying colorectal cancer screening blood-based tests, and for other purposes.",Referred to Committee
H.R. 1580,"Mar 16, 2017","To authorize the Director of the United States Geological Survey to conduct monitoring, assessment, science, and research, in support of the binational fisheries within the Great Lakes Basin, and for other purposes.",Referred to Committee
H.R. 1587,"Mar 16, 2017","To amend the Federal Food, Drug, and Cosmetic Act to preserve the effectiveness of medically important antimicrobials used in the treatment of human and animal diseases.",Referred to Committee
H.R. 1584,"Mar 16, 2017","To amend the Marine Mammal Protection Act of 1972 to prohibit the taking, importation, and exportation of Orcas and Orca products for public display, and for other purposes.",Referred to Committee
H.R. 1586,"Mar 16, 2017","To amend the Federal Food, Drug, and Cosmetic Act to ensure that liquid over-the-counter medications are packaged with appropriate dosage delivery devices and, in the case of such medications labeled for pediatric use, appropriate flow restric",Referred to Committee
H.R. 1583,"Mar 16, 2017",To amend title II of the Social Security Act to improve social security benefits for widows and widowers in two-income households.,Referred to Committee
H.R. 1591,"Mar 16, 2017",To direct the Federal Communications Commission to adopt rules and conduct outreach to offer recipients of assistance under the Lifeline Assistance Program mobile devices that are capable of receiving a WiFi signal and are capable of tethering,Referred to Committee
H.R. 1582,"Mar 16, 2017",To require the Secretary of Treasury to mint coins in commemoration of the 100 year anniversary of the 1st Infantry Division.,Referred to Committee
H.R. 1585,"Mar 16, 2017",To amend the Securities Act of 1933 to codify certain qualifications of individuals as accredited investors for purposes of the securities laws.,Referred to Committee
H.R. 1589,"Mar 16, 2017",To amend the Internal Revenue Code of 1986 to adjust the phaseout of the health insurance tax credit for geographic variations in the cost-of-living.,Referred to Committee
H.R. 1579,"Mar 16, 2017","To require drinking water systems to assess and address their vulnerabilities to climate change, source water degradation, and intentional acts to ensure security and resiliency.",Referred to Committee
H.R. 1581,"Mar 16, 2017",To amend the Communications Act of 1934 to add access to telecommunications and information services in Indian country and areas with high populations of Indian people to the universal service principle relating to access to such services in r,Referred to Committee
H.R. 1592,"Mar 16, 2017",To remove penalties for health insurers under the Patient Protection and Affordable Care Act and Health Care and Education Reconciliation Act of 2010.,Referred to Committee
H.R. 1556,"Mar 16, 2017","To amend title 10, United States Code, to direct the Secretary of Defense to make certain limitations on the transfer of personal property to Federal and State agencies, and for other purposes.",Referred to Committee
H.Res. 205,"Mar 16, 2017",Expressing the sense of the House of Representatives with respect to ensuring that womens health care under current law is preserved.,Referred to Committee
H.Res. 203,"Mar 16, 2017","Of inquiry requesting the President, and directing the Attorney General, to transmit, respectively, certain documents to the House of Representatives relating to certain communications by the President of the United States.",Referred to Committee
H.Res. 204,"Mar 16, 2017",Declaring support for Brain Awareness Week.,Referred to Committee
H.R. 1566,"Mar 16, 2017","To provide incentives for hate crime reporting, grants for State-run hate crime hotlines, a Federal private right of action for victims of hate crimes, and additional penalties for individuals convicted under the Matthew Shephard and James Byr",Referred to Committee
H.R. 1561,"Mar 16, 2017",To prohibit any hiring freeze from affecting the National Institutes of Health and the Centers for Disease Control.,Referred to Committee
H.Res. 202,"Mar 16, 2017",Reaffirming the commitment of the United States to the North Atlantic Treaty Organization (NATO).,Referred to Committee
H.R. 1588,"Mar 16, 2017",To amend the Uniform Code of Military Justice to prohibit the nonconsensual distribution of private sexual images.,Referred to Committee
H.R. 1577,"Mar 16, 2017","To require the Secretary of the Interior submit a report to Congress evaluating the Capital Investment Strategy and its results, and for other purposes.",Referred to Committee
H.Res. 200,"Mar 16, 2017",Expressing the sense of the House of Representatives that the United States should develop and adopt a comprehensive cybersecurity policy.,Referred to Committee
H.Res. 201,"Mar 16, 2017","Expressing support to the Government of Argentina for its investigation into the terrorist bombing of the Embassy of Israel in Buenos Aires on March 17, 1992.",Referred to Committee
H.R. 1590,"Mar 16, 2017","To require the Small Business Administration to make information relating to lenders making covered loans publicly available, and for other purposes.",Referred to Committee
H.R. 1576,"Mar 16, 2017",To direct the Secretary of Commerce to establish a job-training grant program for workers displaced by automation and to establish an Innovation Corps to enable recent college graduates to volunteer in job-training programs for workers displac,Referred to Committee
H.J.Res. 90,"Mar 16, 2017",Proposing an amendment to the Constitution of the United States to clarify the authority of Congress and the States to regulate the expenditure of funds for political activity by corporations.,Referred to Committee
S. 646,"Mar 15, 2017","A bill to amend title 38, United States Code, to improve the enforcement of employment and reemployment rights of members of the uniformed services, to amend the Servicemembers Civil Relief Act to improve the protection of members of the uniforme",Referred to Committee
S. 645,"Mar 15, 2017","A bill to require the Secretary of Commerce to conduct an assessment and analysis of the effects of broadband deployment and adoption on the economy of the United States, and for other purposes.",Referred to Committee
S. 644,"Mar 15, 2017","A bill to authorize the Secretary of the Interior to conduct a special resource study of the Medgar Evers House, located in Jackson, Mississippi, and for other purposes.",Referred to Committee
S. 648,"Mar 15, 2017",A bill to establish a grant program to promote the development of career education programs in computer science in secondary and postsecondary education.,Referred to Committee
S. 642,"Mar 15, 2017","A bill to restore the integrity of the Fifth Amendment to the Constitution of the United States, and for other purposes.",Referred to Committee
S. 634,"Mar 15, 2017",A bill to require reductions in the direct cost of Federal regulations that are proportional to the amount of increases in the debt ceiling.,Referred to Committee
S. 640,"Mar 15, 2017",A bill to prioritize funding for an expanded and sustained national investment in biomedical research.,Referred to Committee
S. 636,"Mar 15, 2017",A bill to allow Americans to earn paid sick time so that they can address their own health needs and the health needs of their families.,Referred to Committee
S. 638,"Mar 15, 2017",A bill to amend the Internal Revenue Code of 1986 to provide appropriate rules for the application of the deduction for income attributable to domestic production activities with respect to certain contract manufacturing or production arrangement,Referred to Committee
S. 635,"Mar 15, 2017","A bill to amend title 28, United States Code, to prohibit the exclusion of individuals from service on a Federal jury on account of sexual orientation or gender identity.",Referred to Committee
S. 637,"Mar 15, 2017",A bill to amend titles XI and XVIII of the Social Security Act to provide greater transparency of discounts provided by drug manufacturers.,Referred to Committee
S. 632,"Mar 15, 2017",A bill to amend title 28 of the United States Code to authorize the appointment of additional bankruptcy judges; and for other purposes.,Referred to Committee
S. 639,"Mar 15, 2017","A bill to clarify that nonprofit organizations such as Habitat for Humanity may accept donated mortgage appraisals, and for other purposes.",Referred to Committee
S. 652,"Mar 15, 2017","A bill to amend the Public Health Service Act to reauthorize a program for early detection, diagnosis, and treatment regarding deaf and hard-of-hearing newborns, infants, and young children.",Referred to Committee
S. 655,"Mar 15, 2017",A bill to exempt certain 16- and 17-year-old individuals employed in logging operations from child labor laws.,Referred to Committee
