house_or_senate,sector_name,name,is_active
S,Aging,Susan Collins,Chairman
S,Aging,Robert Bob Casey Jr.,Ranking Member
S,Aging,Richard Blumenthal,NULL
S,Aging,Richard Burr,NULL
S,Aging,Bob Corker,NULL
S,Aging,Catherine Cortez Masto,NULL
S,Aging,Joe Donnelly,NULL
S,Aging,Deb Fischer,NULL
S,Aging,Jeff Flake,NULL
S,Aging,Kirsten Gillibrand,NULL
S,Aging,Orrin Hatch,NULL
S,Aging,Bill Nelson,NULL
S,Aging,Marco Rubio,NULL
S,Aging,Tim Scott,NULL
S,Aging,Thom Tillis,NULL
S,Aging,Elizabeth Warren,NULL
S,Aging,Sheldon Whitehouse,NULL
S,"Agriculture, Nutrition, and Forestry",PaRobts,Chairman
S,"Agriculture, Nutrition, and Forestry",Debbie Stabenow,Ranking Member
S,"Agriculture, Nutrition, and Forestry",John Boozman,"Subcommittee Chair: Commodities, Risk Management and Trade"
S,"Agriculture, Nutrition, and Forestry",Steve Daines,"Subcommittee Chair: Conservation, Forestry and Natural Resources"
S,"Agriculture, Nutrition, and Forestry",Joni Ernst,Subcommittee Chair: Rural Development and Energy
S,"Agriculture, Nutrition, and Forestry",David Perdue,Subcommittee Chair: LivestockMarking and Agriculture Security
S,"Agriculture, Nutrition, and Forestry",Luther Strange,"Subcommittee Chair: Nutrition, Specialty Crops, and Agricultural Research"
S,"Agriculture, Nutrition, and Forestry",Michael Bennet,NULL
S,"Agriculture, Nutrition, and Forestry",Sherrod Brown,NULL
S,"Agriculture, Nutrition, and Forestry",Robert Bob Casey Jr.,NULL
S,"Agriculture, Nutrition, and Forestry",Thad Cochran,NULL
S,"Agriculture, Nutrition, and Forestry",Joe Donnelly,NULL
S,"Agriculture, Nutrition, and Forestry",Kirsten Gillibrand,NULL
S,"Agriculture, Nutrition, and Forestry",CharleChuckrassley,NULL
S,"Agriculture, Nutrition, and Forestry",Heidi Heitkamp,NULL
S,"Agriculture, Nutrition, and Forestry",John Hoeven,NULL
S,"Agriculture, Nutrition, and Forestry",Amy Klobuchar,NULL
S,"Agriculture, Nutrition, and Forestry",PRickeahy,NULL
S,"Agriculture, Nutrition, and Forestry",Mitch McConnell,NULL
S,"Agriculture, Nutrition, and Forestry",John Thune,NULL
S,"Agriculture, Nutrition, and Forestry",Chris Van Hollen Jr.,NULL
S,Appropriations,Thad Cochran,Chairman
S,Appropriations,Lamar Alexander,Subcommittee Chair: Energy and Water Development
S,Appropriations,Roy Blunt,"Subcommittee Chair: Departments of Labor, Health and Human Services, and Education, and Related Agencies"
S,Appropriations,John Boozman,Subcommittee Chair: Department of Homeland Security
S,Appropriations,Shelley Capito,Subcommittee Chair: Financial Services and General Government
S,Appropriations,Susan Collins,"Subcommittee Chair: Transportation, Housing and Urban Development, and Related Agencies"
S,Appropriations,Lindsey Graham,"Subcommittee Chair: State, Foreign Operations, and Related Programs"
S,Appropriations,John Hoeven,"Subcommittee Chair: Agriculture, Rural Development, Food and Drug Administration, and Related Agencies"
S,Appropriations,James Lankford,Subcommittee Chair: Legislative Branch
S,Appropriations,Jerry Moran,"Subcommittee Chair: Military Construction and Veterans Affairs, and Related Agencies"
S,Appropriations,Lisa Murkowski,"Subcommittee Chair: Department of the Interior, Environment, and Related Agencies"
