name,house_or_senate,state,party,since,gender,is_active
Alma Adams,Representative,North Carolina,Democrat,12-Nov-14,f,TRUE
Aumua Amata,Delegate,American Samoa,Republican,6-Jan-15,f,TRUE
Tammy Baldwin,Senator,Wisconsin,Democrat,3-Jan-13,f,TRUE
Nanette Barrag??n,Representative,California,Democrat,3-Jan-17,f,TRUE
Karen Bass,Representative,California,Democrat,3-Jan-13,f,TRUE
Joyce Beatty,Representative,Ohio,Democrat,3-Jan-13,f,TRUE
Diane Black,Representative,Tennessee,Republican,5-Jan-11,f,TRUE
Marsha Blackburn,Representative,Tennessee,Republican,7-Jan-03,f,TRUE
Lisa Blunt Rochester,Representative,Delaware,Democrat,3-Jan-17,f,TRUE
Suzanne Bonamici,Representative,Oregon,Democrat,7-Feb-12,f,TRUE
Madeleine Bordallo,Delegate,Guam,Democrat,7-Jan-03,f,TRUE
Susan Brooks,Representative,Indiana,Republican,3-Jan-13,f,TRUE
Julia Brownley,Representative,California,Democrat,3-Jan-13,f,TRUE
Cheri Bustos,Representative,Illinois,Democrat,3-Jan-13,f,TRUE
Maria Cantwell,Senator,Washington,Democrat,3-Jan-01,f,TRUE
Shelley Capito,Senator,West Virginia,Republican,6-Jan-15,f,TRUE
Kathy Castor,Representative,Florida,Democrat,3-Jan-13,f,TRUE
Liz Cheney,Representative,Wyoming,Republican,3-Jan-17,f,TRUE
Judy Chu,Representative,California,Democrat,3-Jan-13,f,TRUE
Katherine Clark,Representative,Massachusetts,Democrat,12-Dec-13,f,TRUE
Yvette Clarke,Representative,New York,Democrat,3-Jan-13,f,TRUE
Susan Collins,Senator,Maine,Republican,7-Jan-97,f,TRUE
Barbara Comstock,Representative,Virginia,Republican,6-Jan-15,f,TRUE
Catherine Cortez Masto,Senator,Nevada,Democrat,3-Jan-17,f,TRUE
Susan Davis,Representative,California,Democrat,7-Jan-03,f,TRUE
Diana DeGette,Representative,Colorado,Democrat,7-Jan-97,f,TRUE
Rosa DeLauro,Representative,Connecticut,Democrat,3-Jan-91,f,TRUE
Suzan DelBene,Representative,Washington,Democrat,13-Nov-12,f,TRUE
Val Demings,Representative,Florida,Democrat,3-Jan-17,f,TRUE
Debbie Dingell,Representative,Michigan,Democrat,6-Jan-15,f,TRUE
Tammy Duckworth,Senator,Illinois,Democrat,3-Jan-17,f,TRUE
Joni Ernst,Senator,Iowa,Republican,6-Jan-15,f,TRUE
Anna Eshoo,Representative,California,Democrat,3-Jan-13,f,TRUE
Elizabeth Esty,Representative,Connecticut,Democrat,3-Jan-13,f,TRUE
Dianne Feinstein,Senator,California,Democrat,10-Nov-92,f,TRUE
Deb Fischer,Senator,Nebraska,Republican,3-Jan-13,f,TRUE
Virginia Foxx,Representative,North Carolina,Republican,4-Jan-05,f,TRUE
Lois Frankel,Representative,Florida,Democrat,3-Jan-17,f,TRUE
Marcia Fudge,Representative,Ohio,Democrat,19-Nov-08,f,TRUE
Tulsi Gabbard,Representative,Hawaii,Democrat,3-Jan-13,f,TRUE
Kirsten Gillibrand,Senator,New York,Democrat,27-Jan-09,f,TRUE
Jenniffer Gonz??lez-Col??n,Resident Commissioner,Puerto Rico,Republican,3-Jan-17,f,TRUE
Kay Granger,Representative,Texas,Republican,7-Jan-97,f,TRUE
Colleen Hanabusa,Representative,Hawaii,Democrat,14-Nov-16,f,TRUE
Kamala Harris,Senator,California,Democrat,3-Jan-17,f,TRUE
Vicky Hartzler,Representative,Missouri,Republican,5-Jan-11,f,TRUE
Margaret ??Maggie?? Hassan,Senator,New Hampshire,Democrat,3-Jan-17,f,TRUE
Heidi Heitkamp,Senator,North Dakota,Democrat,3-Jan-13,f,TRUE
Jaime Herrera Beutler,Representative,Washington,Republican,5-Jan-11,f,TRUE
Mazie Hirono,Senator,Hawaii,Democrat,3-Jan-13,f,TRUE
Sheila Jackson Lee,Representative,Texas,Democrat,4-Jan-95,f,TRUE
Pramila Jayapal,Representative,Washington,Democrat,3-Jan-17,f,TRUE
Lynn Jenkins,Representative,Kansas,Republican,6-Jan-09,f,TRUE
Eddie Johnson,Representative,Texas,Democrat,5-Jan-93,f,TRUE
Marcy Kaptur,Representative,Ohio,Democrat,3-Jan-83,f,TRUE
Robin Kelly,Representative,Illinois,Democrat,9-Apr-13,f,TRUE
Amy Klobuchar,Senator,Minnesota,Democrat,4-Jan-07,f,TRUE
Ann Kuster,Representative,New Hampshire,Democrat,3-Jan-13,f,TRUE
Brenda Lawrence,Representative,Michigan,Democrat,6-Jan-15,f,TRUE
Barbara Lee,Representative,California,Democrat,3-Jan-13,f,TRUE
Zoe Lofgren,Representative,California,Democrat,3-Jan-13,f,TRUE
Mia Love,Representative,Utah,Republican,6-Jan-15,f,TRUE
Nita Lowey,Representative,New York,Democrat,3-Jan-13,f,TRUE
Michelle Lujan Grisham,Representative,New Mexico,Democrat,3-Jan-13,f,TRUE
Carolyn Maloney,Representative,New York,Democrat,3-Jan-13,f,TRUE
Doris Matsui,Representative,California,Democrat,3-Jan-13,f,TRUE
Claire McCaskill,Senator,Missouri,Democrat,4-Jan-07,f,TRUE
Betty McCollum,Representative,Minnesota,Democrat,3-Jan-01,f,TRUE
Cathy McMorris Rodgers,Representative,Washington,Republican,4-Jan-05,f,TRUE
Martha McSally,Representative,Arizona,Republican,6-Jan-15,f,TRUE
Grace Meng,Representative,New York,Democrat,3-Jan-13,f,TRUE
Gwen Moore,Representative,Wisconsin,Democrat,4-Jan-05,f,TRUE
Lisa Murkowski,Senator,Alaska,Republican,7-Jan-03,f,TRUE
Stephanie Murphy,Representative,Florida,Democrat,3-Jan-17,f,TRUE
Patty Murray,Senator,Washington,Democrat,5-Jan-93,f,TRUE
Grace Napolitano,Representative,California,Democrat,3-Jan-13,f,TRUE
Kristi Noem,Representative,South Dakota,Republican,5-Jan-11,f,TRUE
Eleanor Norton,Delegate,the District of Columbia,Democrat,3-Jan-91,f,TRUE
Nancy Pelosi,Representative,California,Democrat,3-Jan-13,f,TRUE
Chellie Pingree,Representative,Maine,Democrat,6-Jan-09,f,TRUE
Stacey Plaskett,Delegate,the Virgin Islands,Democrat,6-Jan-15,f,TRUE
Kathleen Rice,Representative,New York,Democrat,6-Jan-15,f,TRUE
Martha Roby,Representative,Alabama,Republican,5-Jan-11,f,TRUE
