Bill_ID,Totle_yes,Totle_no,rep_yes,dem_yes,rep_no,dem_no,Abstain,Date_of_vote,House_or_Senate
H.R. 72,99,0,51,46,0,0,1,"Jan 31, 2017",Senate
H.J.Res. 83,231,191,227,4,6,185,7,"Mar 22, 2017",House
H.J.Res. 83,50,48,50,0,0,48,2,"Mar 22, 2017",Senate
H.J.Res. 69,225,193,220,5,10,183,12,"Mar 21, 2017",House
H.J.Res. 69,52,47,52,0,0,47,1,"Mar 21, 2017",Senate
H.J.Res. 42,236,189,232,4,1,188,6,"Mar 14, 2017",House
H.J.Res. 42,51,48,51,0,0,48,1,"Mar 14, 2017",Senate
H.J.Res. 57,234,190,234,0,1,189,8,"Mar 9, 2017",House
H.J.Res. 57,50,49,50,0,1,48,1,"Mar 9, 2017",Senate
H.J.Res. 58,240,181,235,5,0,181,11,"Mar 8, 2017",House
H.J.Res. 58,59,40,51,8,0,40,1,"Mar 8, 2017",Senate
H.J.Res. 44,234,186,230,4,4,182,12,"Mar 7, 2017",House
H.J.Res. 44,51,48,51,0,0,48,1,"Mar 7, 2017",Senate
H.J.Res. 37,236,187,233,3,1,186,9,"Mar 6, 2017",House
H.J.Res. 37,49,48,49,0,0,48,3,"Mar 6, 2017",Senate
H.J.Res. 40,57,43,53,4,0,43,0,"Feb 28, 2017",Senate
H.J.Res. 38,54,45,50,4,1,44,1,"Feb 16, 2017",Senate
H.J.Res. 41,52,47,52,0,0,47,1,"Feb 14, 2017",Senate
H.R. 1362,411,2,226,185,2,0,16,"Mar 15, 2017",House
H.R. 39,386,17,217,169,17,0,31,"Jan 20, 2017",House
