house_or_senate,sector_name,bill_id
S,Aging,S.Res. 31
S,"Agriculture, Nutrition, and Forestry",H.R. 238
S,"Agriculture, Nutrition, and Forestry",S.Res. 75
S,"Agriculture, Nutrition, and Forestry",S. 499
S,"Agriculture, Nutrition, and Forestry",S. 77
S,"Agriculture, Nutrition, and Forestry",S. 322
S,"Agriculture, Nutrition, and Forestry",S.Res. 30
S,Armed Services,S. 84
S,Armed Services,S. 66
S,Armed Services,S.Res. 53
S,Armed Services,S. 339
S,Armed Services,S. 307
S,Armed Services,S. 498
S,Armed Services,S. 373
S,Armed Services,S. 437
S,Armed Services,S. 250
S,Armed Services,S. 165
S,Armed Services,S. 394
S,Armed Services,S. 238
S,Armed Services,S. 116
S,"Banking, Housing, and Urban Affairs",H.R. 79
S,"Banking, Housing, and Urban Affairs",H.R. 78
S,"Banking, Housing, and Urban Affairs",S. 166
S,"Banking, Housing, and Urban Affairs",S. 266
S,"Banking, Housing, and Urban Affairs",S. 170
S,"Banking, Housing, and Urban Affairs",S. 462
S,"Banking, Housing, and Urban Affairs",S. 352
S,"Banking, Housing, and Urban Affairs",S. 496
S,"Banking, Housing, and Urban Affairs",S. 16
S,"Banking, Housing, and Urban Affairs",S. 327
S,"Banking, Housing, and Urban Affairs",S. 484
S,"Banking, Housing, and Urban Affairs",S. 488
S,"Banking, Housing, and Urban Affairs",S. 472
S,"Banking, Housing, and Urban Affairs",S. 365
S,"Banking, Housing, and Urban Affairs",S. 227
S,"Banking, Housing, and Urban Affairs",S. 15
S,"Banking, Housing, and Urban Affairs",S. 223
S,"Banking, Housing, and Urban Affairs",S. 450
S,"Banking, Housing, and Urban Affairs",S. 444
S,"Banking, Housing, and Urban Affairs",S. 380
S,"Banking, Housing, and Urban Affairs",S. 350
S,"Banking, Housing, and Urban Affairs",S. 275
S,"Banking, Housing, and Urban Affairs",S. 387
S,"Banking, Housing, and Urban Affairs",S. 370
S,"Banking, Housing, and Urban Affairs",S. 366
S,"Banking, Housing, and Urban Affairs",S. 310
S,"Banking, Housing, and Urban Affairs",S.Res. 22
S,"Banking, Housing, and Urban Affairs",S. 159
S,"Banking, Housing, and Urban Affairs",S. 160
S,"Banking, Housing, and Urban Affairs",S. 138
S,"Banking, Housing, and Urban Affairs",S. 103
S,"Banking, Housing, and Urban Affairs",S. 105
S,"Banking, Housing, and Urban Affairs",S. 325
S,"Banking, Housing, and Urban Affairs",S. 314
S,"Banking, Housing, and Urban Affairs",S. 73
S,"Banking, Housing, and Urban Affairs",S.J.Res. 19
S,"Banking, Housing, and Urban Affairs",S.J.Res. 9
S,the Budget,S.Con.Res. 3
S,the Budget,S. 306
S,the Budget,S. 270
S,the Budget,S.Res. 46
S,"Commerce, Science, and Transportation",H.R. 460
S,"Commerce, Science, and Transportation",S. 96
S,"Commerce, Science, and Transportation",S. 81
S,"Commerce, Science, and Transportation",S. 171
S,"Commerce, Science, and Transportation",H.R. 255
S,"Commerce, Science, and Transportation",S. 110
S,"Commerce, Science, and Transportation",S. 102
S,"Commerce, Science, and Transportation",S. 89
S,"Commerce, Science, and Transportation",S. 141
S,"Commerce, Science, and Transportation",H.R. 423
S,"Commerce, Science, and Transportation",S. 88
S,"Commerce, Science, and Transportation",S. 123
S,"Commerce, Science, and Transportation",S. 134
S,"Commerce, Science, and Transportation",H.R. 588
S,"Commerce, Science, and Transportation",H.R. 321
S,"Commerce, Science, and Transportation",S. 129
S,"Commerce, Science, and Transportation",S. 168
S,"Commerce, Science, and Transportation",H.R. 555
S,"Commerce, Science, and Transportation",H.R. 590
S,"Commerce, Science, and Transportation",H.R. 582
S,"Commerce, Science, and Transportation",H.R. 288
S,"Commerce, Science, and Transportation",H.R. 665
S,"Commerce, Science, and Transportation",S. 174
S,"Commerce, Science, and Transportation",S. 19
S,"Commerce, Science, and Transportation",H.R. 599
