Name,Bill_ID,Is_primary_sponsor
Earl Blumenauer,H.R. 1630,TRUE
Luke Messer,H.R. 1624,TRUE
Edward Ed Royce,H.R. 1625,TRUE
Charlie Crist,H.R. 1631,TRUE
Ra_l Grijalva,H.R. 1634,TRUE
Scott DesJarlais,H.R. 1632,TRUE
Bruce Poliquin,H.R. 1638,TRUE
John Shimkus,H.R. 1639,TRUE
Michael McCaul,H.R. 1626,TRUE
Rick Larsen,H.R. 1636,TRUE
Luke Messer,H.R. 1637,TRUE
Jack Bergman,H.R. 1627,TRUE
Alma Adams,H.R. 1629,TRUE
Blake Farenthold,H.R. 1633,TRUE
Ted Yoho,H.R. 1643,TRUE
Jimmy Panetta,H.Res. 212,TRUE
Maxine Waters,H.R. 1641,TRUE
Brett Guthrie,H.R. 1635,TRUE
Peter Welch,H.R. 1642,TRUE
Nydia Vel_azquez,H.R. 1640,TRUE
Zoe Lofgren,H.Res. 211,TRUE
Steny Hoyer,H.Con.Res. 36,TRUE
Lou Barletta,H.Con.Res. 35,TRUE
Matthew Cartwright,H.R. 1594,TRUE
Bradley Byrne,H.R. 1596,TRUE
Keith Rothfus,H.R. 1595,TRUE
Louie Gohmert,H.R. 1598,TRUE
Sam Johnson,H.R. 1599,TRUE
Roger Williams,H.R. 1593,TRUE
Karen Bass,H.R. 1604,TRUE
Buddy Carter,H.R. 1606,TRUE
Ted Poe,H.R. 1600,TRUE
Kyrsten Sinema,H.R. 1601,TRUE
Jamie Raskin,H.R. 1615,TRUE
Carolyn Maloney,H.R. 1611,TRUE
Raul Ruiz,H.R. 1619,TRUE
Raul Ruiz,H.R. 1620,TRUE
Raul Ruiz,H.R. 1622,TRUE
Raul Ruiz,H.R. 1618,TRUE
Raul Ruiz,H.R. 1621,TRUE
John Lewis,H.Con.Res. 34,TRUE
James ___Jim__ Langevin,H.R. 1609,TRUE
Michelle Lujan Grisham,H.R. 1610,TRUE
Tom Reed,H.R. 1617,TRUE
Carolyn Maloney,H.R. 1612,TRUE
David McKinley,H.R. 1613,TRUE
John Ratcliffe,H.R. 1616,TRUE
John Lewis,H.R. 1602,TRUE
Karen Bass,H.R. 1605,TRUE
Karen Bass,H.R. 1603,TRUE
Theodore Deutch,H.R. 1607,TRUE
William Keating,H.Res. 207,TRUE
Raul Ruiz,H.Res. 208,TRUE
Adriano Espaillat,H.R. 1608,TRUE
Mark Pocan,H.R. 1614,TRUE
Steve Russell,H.R. 1623,TRUE
David ___Dave__ Brat,H.R. 1597,TRUE
Buddy Carter,H.Res. 206,TRUE
Mark Pocan,H.R. 1562,TRUE
John Katko,H.R. 1563,TRUE
Richard Hudson,H.R. 1572,TRUE
Tom MacArthur,H.R. 1575,TRUE
Jaime Herrera Beutler,H.R. 1571,TRUE
Alcee Hastings,H.R. 1570,TRUE
Ben Luj__n,H.R. 1574,TRUE
Bill Huizenga,H.R. 1573,TRUE
Jack Bergman,H.R. 1564,TRUE
Garland ___Andy__ Barr,H.R. 1565,TRUE
Steve Knight,H.R. 1557,TRUE
James Sensenbrenner,H.R. 1559,TRUE
Paul Gosar,H.R. 1560,TRUE
Edward ___Ed__ Royce,H.R. 1558,TRUE
John ___Jimmy__ Duncan,H.R. 1568,TRUE
Bill Foster,H.R. 1569,TRUE
Henry Cuellar,H.R. 1567,TRUE
Donald Payne,H.R. 1578,TRUE
Mike Quigley,H.R. 1580,TRUE
Louise Slaughter,H.R. 1587,TRUE
Adam Schiff,H.R. 1584,TRUE
Jos_ Serrano,H.R. 1586,TRUE
Linda S__nchez,H.R. 1583,TRUE
Peter Welch,H.R. 1591,TRUE
Steve Russell,H.R. 1582,TRUE
David Schweikert,H.R. 1585,TRUE
Mike Thompson,H.R. 1589,TRUE
Scott Peters,H.R. 1579,TRUE
Raul Ruiz,H.R. 1581,TRUE
Ted Yoho,H.R. 1592,TRUE
Henry ___Hank__ Johnson,H.R. 1556,TRUE
Susan Davis,H.Res. 205,TRUE
Mike Quigley,H.Res. 203,TRUE
Earl Blumenauer,H.Res. 204,TRUE
Donald Beyer,H.R. 1566,TRUE
Nydia Vel__zquez,H.R. 1561,TRUE
John Delaney,H.Res. 202,TRUE
Jackie Speier,H.R. 1588,TRUE
Martha McSally,H.R. 1577,TRUE
Scott Taylor,H.Res. 200,TRUE
Ileana Ros-Lehtinen,H.Res. 201,TRUE
Norma Torres,H.R. 1590,TRUE
Doris Matsui,H.R. 1576,TRUE
Carol Shea-Porter,H.J.Res. 90,TRUE
Richard Blumenthal,S. 646,TRUE
Amy Klobuchar,S. 645,TRUE
Thad Cochran,S. 644,TRUE
Kirsten Gillibrand,S. 648,TRUE
Rand Paul,S. 642,TRUE
Cory Gardner,S. 634,TRUE
Richard Durbin,S. 640,TRUE
Patty Murray,S. 636,TRUE
Robert ___Rob__ Portman,S. 638,TRUE
Jeanne Shaheen,S. 635,TRUE
Ron Wyden,S. 637,TRUE
Chris Coons,S. 632,TRUE
Robert ___Rob__ Portman,S. 639,TRUE
Robert ___Rob__ Portman,S. 652,TRUE
James Risch,S. 655,TRUE
Roger Wicker,S. 657,TRUE
Patrick ___Pat__ Toomey,S. 654,TRUE
Richard Blumenthal,S. 647,TRUE
Richard Durbin,S. 641,TRUE
Richard Blumenthal,S. 662,TRUE
Alan ___Al__ Franken,S. 667,TRUE
Thomas Carper,S. 668,TRUE
John Thune,S. 663,TRUE
John Hoeven,S. 658,TRUE
Bill Cassidy,S. 665,TRUE
Cory Gardner,S. 660,TRUE
Tim Scott,S. 666,TRUE
Marco Rubio,S. 659,TRUE
Orrin Hatch,S. 664,TRUE
Tom Udall,S. 661,TRUE
Richard Durbin,S. 649,TRUE
Claire McCaskill,S. 651,TRUE
David Reichert,H.R. 1550,TRUE
Ann Kuster,H.R. 1545,TRUE
Martha McSally,H.R. 1547,TRUE
Tim Ryan,H.R. 1553,TRUE
David Loebsack,H.R. 1546,TRUE
Brett Guthrie,H.R. 1539,TRUE
Morgan Griffith,H.R. 1538,TRUE
Brian Fitzpatrick,H.R. 1536,TRUE
Lynn Jenkins,H.R. 1541,TRUE
Elizabeth Esty,H.R. 1535,TRUE
Bradley Byrne,H.R. 1532,TRUE
Debbie Dingell,H.R. 1534,TRUE
Tim Walberg,H.R. 1554,TRUE
Charles ___Chuck__ Grassley,S. 643,TRUE
Jeanne Shaheen,S. 630,TRUE
Mike Kelly,H.R. 1543,TRUE
Orrin Hatch,S. 653,TRUE
Chris Coons,S. 650,TRUE
Thomas Garrett,H.R. 1537,TRUE
Ed Perlmutter,H.R. 1549,TRUE
Bob Goodlatte,H.Con.Res. 33,TRUE
Timothy Kaine,S.Res. 87,TRUE
Timothy Kaine,S.Con.Res. 9,TRUE
Yvette Clarke,H.R. 1533,TRUE
Beto O'Rourke,H.R. 1548,TRUE
French Hill,H.R. 1540,TRUE
Dennis Ross,H.R. 1552,TRUE
Debbie Stabenow,S.Res. 88,TRUE
Tom Cotton,S. 656,TRUE
George Holding,H.Res. 199,TRUE
Tom Rice,H.R. 1551,TRUE
Tim Walberg,H.R. 1555,TRUE
Jim Banks,H.J.Res. 89,TRUE
Bill Johnson,H.R. 1542,TRUE
Adam Kinzinger,H.R. 1544,TRUE
Darrell Issa,H.R. 1530,TRUE
Earl Blumenauer,H.R. 1531,TRUE
Edward ___Ed__ Markey,S. 631,TRUE
Scott Tipton,H.R. 1528,TRUE
Marshall ___Mark__ Sanford,H.R. 1529,TRUE
Charles ___Chuck__ Grassley,S. 633,TRUE
Jeff Flake,S. 622,TRUE
Maria Cantwell,S. 624,TRUE
Charles ___Chuck__ Grassley,S. 616,TRUE
Jon Tester,S. 621,TRUE
Alan ___Al__ Franken,S. 620,TRUE
Maria Cantwell,S. 627,TRUE
Timothy Kaine,S. 628,TRUE
Dianne Feinstein,S. 629,TRUE
Christopher Murphy,S. 617,TRUE
Jon Tester,S. 619,TRUE
Robert ___Rob__ Portman,S. 626,TRUE
Marco Rubio,S. 623,TRUE
Jeanne Shaheen,S. 625,TRUE
Orrin Hatch,S. 618,TRUE
Mike Lee,S.J.Res. 38,TRUE
Elise Stefanik,H.Res. 195,TRUE
Bill Foster,H.Res. 196,TRUE
