bill_id,choice,name
HR720,Aye,Robert Aderholt
HR720,Aye,Joe Barton
HR720,Aye,Rob Bishop
HR720,No,Sanford Bishop Jr.
HR720,Aye,Marsha Blackburn
HR720,No,Earl Blumenauer
HR720,Not Voting,Kevin Brady
HR720,No,Robert Brady
HR720,Aye,Michael Burgess
HR720,Aye,Ken Calvert
HR720,No,Michael Capuano
HR720,Aye,John Carter
HR720,Aye,Steve Chabot
HR720,No,Lacy Clay Jr.
HR720,No,James Jim Clyburn
HR720,Aye,Tom Cole
HR720,No,John Conyers Jr.
HR720,No,Jim Cooper
HR720,No,Joseph Joe Crowley
HR720,Aye,John Culberson
HR720,No,Elijah Cummings
HR720,No,Danny Davis
HR720,Not Voting,Susan Davis
HR720,No,Peter DeFazio
HR720,No,Diana DeGette
HR720,No,Rosa DeLauro
HR720,Aye,Mario Diaz-Balart
HR720,No,Lloyd Doggett
HR720,No,Michael Mike Doyle Jr.
HR720,Aye,John Jimmy Duncan Jr.
HR720,No,Eliot Engel
HR720,No,Anna Eshoo
HR720,Aye,Trent Franks
HR720,Aye,Rodney Frelinghuysen
HR720,Aye,Bob Goodlatte
HR720,Aye,Kay Granger
HR720,Aye,Sam Graves
HR720,No,Gene Green
HR720,No,Ral Grijalva
HR720,No,Luis Gutirrez
HR720,No,Alcee Hastings
HR720,Aye,Jeb Hensarling
HR720,No,Steny Hoyer
HR720,Aye,Darrell Issa
HR720,No,Sheila Jackson Lee
HR720,No,Eddie Johnson
HR720,Aye,Sam Johnson
HR720,Not Voting,Walter Jones Jr.
HR720,No,Marcy Kaptur
HR720,No,Ron Kind
HR720,Aye,Peter Pete King
HR720,Aye,Steve King
HR720,No,James Jim Langevin
HR720,No,Rick Larsen
HR720,No,John Larson
HR720,No,Barbara Lee
HR720,No,Sander Levin
HR720,No,John Lewis
HR720,Aye,Frank LoBiondo
HR720,No,Zoe Lofgren
HR720,No,Nita Lowey
HR720,Aye,Frank Lucas
HR720,No,Stephen Lynch
HR720,No,Carolyn Maloney
HR720,No,Betty McCollum
HR720,No,James Jim McGovern
HR720,No,Gregory Meeks
HR720,Aye,Tim Murphy
HR720,No,Jerrold Nadler
HR720,No,Grace Napolitano
HR720,No,Richard Neal
HR720,Aye,Devin Nunes
HR720,No,Frank Pallone Jr.
HR720,No,Bill Pascrell Jr.
HR720,Aye,Stevan Steve Pearce
HR720,No,Nancy Pelosi
HR720,Aye,Collin Peterson
HR720,No,David Price
HR720,Aye,Harold Hal Rogers
HR720,Aye,Mike Rogers
HR720,Aye,Dana Rohrabacher
HR720,Aye,Ileana Ros-Lehtinen
HR720,No,Lucille Roybal-Allard
HR720,Aye,Edward Ed Royce
HR720,No,A. Dutch Ruppersberger
HR720,Not Voting,Bobby Rush
HR720,No,Tim Ryan
HR720,No,Linda Snchez
HR720,No,Janice Jan Schakowsky
HR720,No,Adam Schiff
HR720,No,David Scott
HR720,No,Robert Bobby Scott
HR720,Aye,James Sensenbrenner Jr.
HR720,No,Jos Serrano
HR720,Aye,Pete Sessions
HR720,No,Brad Sherman
HR720,Aye,John Shimkus
HR720,Aye,Michael Mike Simpson
HR720,No,Louise Slaughter
HR720,No,Adam Smith
HR720,Aye,Christopher Chris Smith
HR720,Aye,Lamar Smith
HR720,No,Bennie Thompson
HR720,No,Mike Thompson
HR720,Aye,Mac Thornberry
HR720,Aye,Patrick Pat Tiberi
HR720,Aye,Michael Turner
HR720,Aye,Fred Upton
HR720,No,Nydia Velzquez
HR720,No,Peter Visclosky
HR720,Not Voting,Greg Walden
HR720,No,Maxine Waters
HR720,Aye,Joe Wilson
HR720,Aye,Don Young
HR720,Aye,Marshall Mark Sanford
HR720,No,George G.K. Butterfield Jr.
HR720,Aye,Jim Costa
HR720,No,Debbie Wasserman Schultz
HR720,No,Daniel Lipinski
HR720,No,Emanuel Cleaver II
HR720,Aye,Jeff Fortenberry
HR720,No,Brian Higgins
HR720,Aye,Virginia Foxx
HR720,Aye,Patrick McHenry
HR720,Aye,Charles Dent
HR720,Aye,Louie Gohmert Jr.
HR720,No,Ted Poe
HR720,No,Al Green
HR720,Aye,Michael McCaul
HR720,Aye,Michael Conaway
HR720,Aye,Kenny Marchant
HR720,Aye,Henry Cuellar
HR720,Aye,Cathy McMorris Rodgers
